run_times,tag,avg_time,std_time
0.007667064666748047,small_data_lag_1_max_lag_5,0.005404901504516601,0.0014564372108838701
0.007018089294433594,small_data_lag_1_max_lag_5,0.005404901504516601,0.0014564372108838701
0.0070803165435791016,small_data_lag_1_max_lag_5,0.005404901504516601,0.0014564372108838701
0.0050220489501953125,small_data_lag_1_max_lag_5,0.005404901504516601,0.0014564372108838701
0.0046923160552978516,small_data_lag_1_max_lag_5,0.005404901504516601,0.0014564372108838701
0.0062100887298583984,small_data_lag_1_max_lag_5,0.005404901504516601,0.0014564372108838701
0.004194021224975586,small_data_lag_1_max_lag_5,0.005404901504516601,0.0014564372108838701
0.0038290023803710938,small_data_lag_1_max_lag_5,0.005404901504516601,0.0014564372108838701
0.003813028335571289,small_data_lag_1_max_lag_5,0.005404901504516601,0.0014564372108838701
0.004523038864135742,small_data_lag_1_max_lag_5,0.005404901504516601,0.0014564372108838701
